mountain_name,mountain_name_kana,pref
利尻岳,りしりだけ,北海道
羅臼岳,らうすだけ,北海道
斜里岳,しゃりだけ,北海道
阿寒岳,あかんだけ,北海道
大雪山,たいせつざん,北海道
トムラウシ山,とむらうしやま,北海道
十勝岳,とかちだけ,北海道
幌尻岳,ぽろしりだけ,北海道
後方羊蹄山,しりべしやま,北海道
岩木山,いわきさん,青森県
八甲田山,はっこうださん,青森県
八幡平,はちまんたい,岩手県・秋田県
岩手山,いわてさん,岩手県
早池峰山,はやちねさん,岩手県
鳥海山,ちょうかいさん,山形県・秋田県
月山,がっさん,山形県
朝日岳,あさひだけ,山形県・新潟県
蔵王山,ざおうさん,宮城県・山形県
飯豊山,いいでさん,山形県・福島県・新潟県
吾妻山,あづまさん,山形県・福島県
安達太良山,あだたらやま,福島県
磐梯山,ばんだいさん,福島県
会津駒ヶ岳,あいづこまがたけ,福島県
那須岳,なすだけ,福島県・栃木県
魚沼駒ヶ岳,うおぬまこまがたけ,新潟県
平ヶ岳,ひらがたけ,新潟県・群馬県
巻機山,まきはたやま,新潟県・群馬県
燧ヶ岳,ひうちがたけ,福島県
至仏山,しぶつさん,群馬県
谷川岳,たにがわだけ,群馬県・新潟県
雨飾山,あまかざりやま,新潟県・長野県
苗場山,なえばさん,新潟県・長野県
妙高山,みょうこうさん,新潟県
火打山,ひうちやま,新潟県
高妻山,たかつまやま,新潟県・長野県
男体山,なんたいさん,栃木県
奥白根山,おくしらねさん,栃木県・群馬県
皇海山,すかいさん,栃木県・群馬県
武尊山,ほたかやま,群馬県
赤城山,あかぎやま,群馬県
草津白根山,くさつしらねさん,群馬県
四阿山,あずまやさん,群馬県・長野県
浅間山,あさまやま,群馬県・長野県
筑波山,つくばさん,茨城県
白馬岳,しろうまだけ,長野県・富山県
五竜岳,ごりゅうだけ,長野県・富山県
鹿島槍ヶ岳,かしまやりがたけ,長野県・富山県
剱岳,つるぎだけ,富山県
立山,たてやま,富山県
薬師岳,やくしだけ,富山県
黒部五郎岳,くろべごろうだけ,富山県・岐阜県
黒岳,くろだけ,富山県
鷲羽岳,わしばだけ,長野県・富山県
槍ヶ岳,やりがたけ,長野県・岐阜県
穂高岳,ほたかだけ,長野県・岐阜県
常念岳,じょうねんだけ,長野県
笠ヶ岳,かさがだけ,岐阜県
焼岳,やけだけ,長野県・岐阜県
乗鞍岳,のりくらだけ,長野県・岐阜県
御嶽山,おんたけさん,長野県・岐阜県
美ヶ原,うつくしがはら,長野県
霧ヶ峰,きりがみね,長野県
蓼科山,たてしなやま,長野県
八ヶ岳,やつがたけ,長野県・山梨県
両神山,りょうかみさん,埼玉県
雲取山,くもとりやま,埼玉県・東京都・山梨県
甲武信ヶ岳,こぶしがたけ,埼玉県・長野県・山梨県
金峰山,きんぷさん,長野県・山梨県
瑞牆山,みずがきやま,山梨県
大菩薩嶺,だいぼさつれい,山梨県
丹沢山,たんざわさん,神奈川県
富士山,ふじさん,山梨県・静岡県
天城山,あまぎさん,静岡県
木曽駒ヶ岳,きそこまがたけ,長野県
空木岳,うつぎだけ,長野県
恵那山,えなさん,長野県・岐阜県
甲斐駒ヶ岳,かいこまがたけ,山梨県・長野県
仙丈ヶ岳,せんじょうがたけ,山梨県・長野県
鳳凰山,ほうおうざん,山梨県
北岳,きただけ,山梨県
間ノ岳,あいのだけ,山梨県・静岡県
塩見岳,しおみだけ,長野県・静岡県
悪沢岳,わるさわだけ,長野県・静岡県
赤石岳,あかいしだけ,長野県・静岡県
聖岳,ひじりだけ,長野県・静岡県
光岳,てかりだけ,長野県・静岡県
白山,はくさん,岐阜県・石川県
荒島岳,あらしまだけ,福井県
伊吹山,いぶきやま,岐阜県・滋賀県
大台ヶ原山,おおだいがはらやま,三重県・奈良県
大峰山,おおみねさん,奈良県
大山,だいせん,鳥取県
剣山,つるぎさん,徳島県
石鎚山,いしづちさん,愛媛県
九重山,くじゅうさん,大分県
祖母山,そぼさん,大分県・宮崎県
阿蘇山,あそさん,熊本県
霧島山,きりしまやま,宮崎県・鹿児島県
開聞岳,かいもんだけ,鹿児島県
宮之浦岳,みやのうらだけ,鹿児島県
